GAME_DATE,player_name,points,rebounds,assists,threept_fg,steals,blocks,minutes
2025-10-21,Steven Adams,4,13,3,0,0,0,36
2025-10-24,Steven Adams,11,10,0,0,3,0,26
2025-10-27,Steven Adams,4,8,1,0,0,1,16
2025-10-29,Steven Adams,12,12,2,0,1,1,20
2025-11-01,Steven Adams,4,5,3,0,0,0,14
2025-11-03,Steven Adams,4,9,1,0,2,2,23
2025-11-05,Steven Adams,0,0,0,0,0,0,0
2025-11-07,Steven Adams,3,8,1,0,1,0,20
2025-11-09,Steven Adams,12,6,1,0,0,0,22
2025-11-12,Steven Adams,5,8,4,0,0,2,17
2025-11-14,Steven Adams,5,11,0,0,1,2,18
2025-11-16,Steven Adams,3,13,0,0,0,0,27
2025-11-19,Steven Adams,6,11,3,0,0,1,28
2025-10-22,Bam Adebayo,15,12,2,1,0,0,34
2025-10-24,Bam Adebayo,24,5,4,4,1,0,28
2025-10-26,Bam Adebayo,19,13,3,1,1,0,30
2025-10-28,Bam Adebayo,26,6,2,3,0,0,30
2025-10-30,Bam Adebayo,31,10,3,4,1,1,37
2025-11-02,Bam Adebayo,17,8,5,1,3,1,36
2025-11-03,Bam Adebayo,25,10,4,2,2,0,30
2025-11-05,Bam Adebayo,2,1,0,0,0,0,8
2025-11-07,Bam Adebayo,0,0,0,0,0,0,0
2025-11-08,Bam Adebayo,0,0,0,0,0,0,0
2025-11-10,Bam Adebayo,0,0,0,0,0,0,0
2025-11-12,Bam Adebayo,0,0,0,0,0,0,0
2025-11-14,Bam Adebayo,0,0,0,0,0,0,0
2025-11-17,Bam Adebayo,0,0,0,0,0,0,0
2025-11-19,Bam Adebayo,20,7,3,3,1,2,29
2025-10-22,Grayson Allen,18,5,7,3,1,0,36
2025-10-24,Grayson Allen,12,1,5,3,1,1,29
2025-10-25,Grayson Allen,17,4,5,5,1,0,33
2025-10-27,Grayson Allen,23,2,5,4,1,0,42
2025-10-29,Grayson Allen,14,3,4,2,0,0,36
2025-10-31,Grayson Allen,14,7,6,2,3,1,32
2025-11-02,Grayson Allen,17,3,3,5,0,0,34
2025-11-04,Grayson Allen,16,4,5,4,3,0,35
2025-11-06,Grayson Allen,18,3,4,4,3,1,37
2025-11-08,Grayson Allen,14,0,3,4,1,0,31
2025-11-10,Grayson Allen,42,2,4,10,3,0,28
2025-11-12,Grayson Allen,23,5,3,4,3,1,33
2025-11-13,Grayson Allen,12,1,2,1,1,0,12
2025-11-16,Grayson Allen,0,0,0,0,0,0,0
2025-11-18,Grayson Allen,0,0,0,0,0,0,0
2025-10-22,Jarrett Allen,4,4,1,0,2,0,28
2025-10-24,Jarrett Allen,22,7,4,0,2,1,30
2025-10-26,Jarrett Allen,8,11,1,0,1,0,26
2025-10-27,Jarrett Allen,20,7,2,0,1,0,25
2025-10-29,Jarrett Allen,16,6,1,0,1,1,25
2025-10-31,Jarrett Allen,0,0,0,0,0,0,0
2025-11-02,Jarrett Allen,0,0,0,0,0,0,0
2025-11-05,Jarrett Allen,24,10,1,0,3,3,29
2025-11-07,Jarrett Allen,16,14,3,0,2,1,26
2025-11-08,Jarrett Allen,11,3,2,0,1,2,25
2025-11-10,Jarrett Allen,14,7,2,0,0,1,21
2025-11-12,Jarrett Allen,30,10,2,0,0,0,27
2025-11-13,Jarrett Allen,6,8,0,0,1,1,21
2025-11-15,Jarrett Allen,16,6,2,0,0,1,26
2025-11-17,Jarrett Allen,12,6,2,0,0,1,25
2025-11-19,Jarrett Allen,8,7,3,0,1,0,28
2025-10-22,Kyle Anderson,0,0,0,0,0,0,0
2025-10-24,Kyle Anderson,0,0,0,0,0,0,0
2025-10-27,Kyle Anderson,0,0,0,0,0,0,0
2025-10-29,Kyle Anderson,0,0,0,0,0,0,0
2025-10-31,Kyle Anderson,8,3,3,0,0,0,25
2025-11-02,Kyle Anderson,5,0,2,0,1,0,12
2025-11-03,Kyle Anderson,0,0,0,0,0,0,0
2025-11-05,Kyle Anderson,0,0,0,0,0,0,0
2025-11-07,Kyle Anderson,8,4,4,0,0,0,12
2025-11-10,Kyle Anderson,0,0,0,0,0,0,0
2025-11-11,Kyle Anderson,0,0,0,0,0,0,0
2025-11-13,Kyle Anderson,0,0,0,0,0,0,0
